source,variant,run,env,state_x,condition,sample_y,num_games,successes,pass_rate,complete_sample
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,1,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,2,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,3,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,4,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,6,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,7,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,8,20,3,0.15,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,2,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,3,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,4,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,5,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,6,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,7,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,3,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,4,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,5,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,6,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,7,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,8,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,3,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,4,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,5,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,6,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,7,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,8,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,1,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,2,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,3,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,4,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,5,20,10,0.5,True
